100
0, 0
0.01, 0.198654
0.02, 0.276908
0.03, 0.345807
0.04, 0.406542
0.05, 0.460057
0.06, 0.507139
0.07, 0.548466
0.08, 0.584632
0.09, 0.616162
0.1, 0.643519
0.11, 0.667121
0.12, 0.687339
0.13, 0.704507
0.14, 0.718924
0.15, 0.730859
0.16, 0.740555
0.17, 0.748231
0.18, 0.754084
0.19, 0.758289
0.2, 0.761009
0.21, 0.762387
0.22, 0.762553
0.23, 0.761626
0.24, 0.759711
0.25, 0.756904
0.26, 0.753292
0.27, 0.748953
0.28, 0.743957
0.29, 0.738369
0.3, 0.732246
0.31, 0.72564
0.32, 0.718598
0.33, 0.711162
0.34, 0.703372
0.35, 0.69526
0.36, 0.68686
0.37, 0.678199
0.38, 0.669302
0.39, 0.660193
0.4, 0.650892
0.41, 0.641419
0.42, 0.63179
0.43, 0.622021
0.44, 0.612125
0.45, 0.602116
0.46, 0.592004
0.47, 0.5818
0.48, 0.571512
0.49, 0.56115
0.5, 0.55072
0.51, 0.54023
0.52, 0.529685
0.53, 0.519091
0.54, 0.508454
0.55, 0.497777
0.56, 0.487065
0.57, 0.476321
0.58, 0.465548
0.59, 0.45475
0.6, 0.44393
0.61, 0.433089
0.62, 0.42223
0.63, 0.411355
0.64, 0.400465
0.65, 0.389563
0.66, 0.378649
0.67, 0.367725
0.68, 0.356792
0.69, 0.345851
0.7, 0.334903
0.71, 0.323949
0.72, 0.31299
0.73, 0.302026
0.74, 0.291058
0.75, 0.280086
0.76, 0.269111
0.77, 0.258134
0.78, 0.247154
0.79, 0.236172
0.8, 0.225189
0.81, 0.214205
0.82, 0.203219
0.83, 0.192233
0.84, 0.181246
0.85, 0.170259
0.86, 0.159271
0.87, 0.148283
0.88, 0.137295
0.89, 0.126307
0.9, 0.11532
0.91, 0.104332
0.92, 0.0933449
0.93, 0.0823581
0.94, 0.0713717
0.95, 0.0603857
0.96, 0.0494003
0.97, 0.0384154
0.98, 0.0274311
0.99, 0.0164473
